id,url,ymurl,source,hascrawled,bz,create_date
13795,http://www.dlzs.gov.cn,http://www.dlzs.gov.cn/#/article?currentLocation=%E8%B4%A2%E6%94%BF%E7%AE%A1%E7%90%86&id=1113763573340962816&level1=%E6%94%BF%E5%8A%A1%E5%85%AC%E5%BC%80&level2=中山标讯,大连市中山区人民政府,false,,2023-10-26T11:35:57
14069,http://www.cqws.gov.cn,http://www.cqws.gov.cn/zwxx_258/gsgg/202305/t20230531_12016739.html,巫山县人民政府,false,,2023-10-26T12:59:27
14544,http://youyang.gov.cn,http://youyang.gov.cn/bmjz_sites/bm/mzj/zwgk_104134/fdzdgknr_104136/ysjs_104142_3/202305/t20230530_12012766.html,酉阳土家族苗族自治县人民政府,false,,2023-10-26T14:27:00
14774,https://www.xifeng.gov.cn,https://www.xifeng.gov.cn/zwgk/zdlygk/zfcg_5741486/cggg/202305/t20230530_79962682.html,息烽县人民政府门户网站-引导页,false,,2023-10-26T15:05:51
15073,https://jrb.km.gov.cn,https://jrb.km.gov.cn/c/2023-05-29/4735978.shtml,昆明市人民政府金融办公室,false,,2023-10-26T16:28:47
18586,https://public.xinzheng.gov.cn,https://public.xinzheng.gov.cn/D49Y/7386529.jhtml,新郑市人民政府-政务公开,false,,2023-10-27T09:49:22
19183,http://zfgjj.yzcity.gov.cn,http://zfgjj.yzcity.gov.cn/gjj/0201/202110/816e21da8bb744e28d5c5d3db13f5e85.shtml,"
市住房公积金管理中心
_永州市人民政府",false,,2023-10-27T13:43:33
20078,http://swj.hbqj.gov.cn,http://swj.hbqj.gov.cn/xwzx/gsgg/202305/t20230513_4661807.html,"
        市商务局-
        潜江市人民政府
    ",false,,2023-10-27T17:39:10
20107,http://dss.ah.gov.cn,http://dss.ah.gov.cn/ywdt/tzgg/121583781.html,安徽省人民政府发展研究中心,false,,2023-10-27T17:44:15
23066,http://epb.zgsr.gov.cn,http://epb.zgsr.gov.cn/epb/gsgg/202304/ab967481126a4826ba555128f3d1c192.shtml,上饶市人民政府-市生态环境局,false,,2023-10-28T15:43:49
23480,http://www.zybz.gov.cn,http://www.zybz.gov.cn/zfbm/jtysj/zfxxgk_5668281/fdzdgknr_5668284/jtys/202304/t20230425_79324749.html,"
        播州区人民政府门户网
    ",false,,2023-10-28T17:38:35
23567,http://zjw.xiantao.gov.cn,http://zjw.xiantao.gov.cn/xwzx/gsgg/202304/t20230425_4639037.shtml,仙桃市住房和城乡建设局-仙桃市人民政府,false,,2023-10-28T18:13:38
23600,http://stb.hangzhou.gov.cn,http://stb.hangzhou.gov.cn/art/2014/10/8/art_1229052378_51229680.html,中共杭州市委台湾工作办公室（杭州市人民政府台湾事务办公室）网站,false,,2023-10-28T18:22:23
23760,http://www.kbs.gov.cn,http://www.kbs.gov.cn/ywdt/tzgg/202304/t20230423_3383817.html,康巴什区人民政府,false,,2023-10-28T19:12:05
25287,https://public.erqi.gov.cn,https://public.erqi.gov.cn/D290507X/1854226.jhtml,二七区人民政府-政务公开,false,,2023-10-30T14:10:46
25339,https://www.yingshan.gov.cn,https://www.yingshan.gov.cn/xwdt/tzgg/t_1805185.html,营山县人民政府,false,,2023-10-30T14:37:31
25961,https://www.gaoping.gov.cn,https://www.gaoping.gov.cn/zwgk/fdzdgknr/zfcg/202210/t20221008_1733494.html,高坪区人民政府,false,,2023-10-30T18:41:45
26337,http://fzwb.fuzhou.gov.cn,http://fzwb.fuzhou.gov.cn/zz/gzdt/tzgg/202205/t20220527_4369913.htm,福州市人民政府外事办公室,false,,2023-10-30T20:42:51
26423,http://lyj.xiantao.gov.cn,http://lyj.xiantao.gov.cn/xwzx/gsgg/202303/t20230329_4605587.shtml,仙桃市林业事业发展中心-仙桃市人民政府,false,,2023-10-30T21:17:34
